STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REGION,Region,LOCATION,Country,INCOME,Income,VAR,Variable,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,AUT,Austria,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,11.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,AUT,Austria,HIN,High income,DF__2,Discrimination in the family,2019,,22.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,AUT,Austria,HIN,High income,RPI__2,Restricted physical integrity,2019,,7.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,AUT,Austria,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,AUT,Austria,HIN,High income,RCL__2,Restricted civil liberties,2019,,12.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,AUT,Austria,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,11.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,AUT,Austria,HIN,High income,DF__2,Discrimination in the family,2019,,22.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,AUT,Austria,HIN,High income,RPI__2,Restricted physical integrity,2019,,7.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,AUT,Austria,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,AUT,Austria,HIN,High income,RCL__2,Restricted civil liberties,2019,,12.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,BEL,Belgium,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,11.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,BEL,Belgium,HIN,High income,DF__2,Discrimination in the family,2019,,22,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,BEL,Belgium,HIN,High income,RPI__2,Restricted physical integrity,2019,,8.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,BEL,Belgium,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,3.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,BEL,Belgium,HIN,High income,RCL__2,Restricted civil liberties,2019,,10.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,BEL,Belgium,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,11.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,BEL,Belgium,HIN,High income,DF__2,Discrimination in the family,2019,,22,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,BEL,Belgium,HIN,High income,RPI__2,Restricted physical integrity,2019,,8.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,BEL,Belgium,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,3.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,BEL,Belgium,HIN,High income,RCL__2,Restricted civil liberties,2019,,10.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,AME,Americas,CAN,Canada,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,18.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,AME,Americas,CAN,Canada,HIN,High income,DF__2,Discrimination in the family,2019,,26.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,AME,Americas,CAN,Canada,HIN,High income,RPI__2,Restricted physical integrity,2019,,4.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,AME,Americas,CAN,Canada,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,17.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,AME,Americas,CAN,Canada,HIN,High income,RCL__2,Restricted civil liberties,2019,,23.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,CAN,Canada,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,18.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,CAN,Canada,HIN,High income,DF__2,Discrimination in the family,2019,,26.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,CAN,Canada,HIN,High income,RPI__2,Restricted physical integrity,2019,,4.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,CAN,Canada,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,17.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,CAN,Canada,HIN,High income,RCL__2,Restricted civil liberties,2019,,23.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,CZE,Czechia,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,19.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,CZE,Czechia,HIN,High income,DF__2,Discrimination in the family,2019,,27.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,CZE,Czechia,HIN,High income,RPI__2,Restricted physical integrity,2019,,12.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ASI,Asia,CYP,Cyprus,HIN,High income,RPI__2,Restricted physical integrity,2019,,11.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,CZE,Czechia,HIN,High income,RCL__2,Restricted civil liberties,2019,,26.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,CZE,Czechia,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,19.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,CZE,Czechia,HIN,High income,DF__2,Discrimination in the family,2019,,27.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,CZE,Czechia,HIN,High income,RPI__2,Restricted physical integrity,2019,,12.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,CZE,Czechia,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,11.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,CZE,Czechia,HIN,High income,RCL__2,Restricted civil liberties,2019,,26.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,DNK,Denmark,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,10.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,DNK,Denmark,HIN,High income,DF__2,Discrimination in the family,2019,,15,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,DNK,Denmark,HIN,High income,RPI__2,Restricted physical integrity,2019,,10.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,DNK,Denmark,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,4.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,DNK,Denmark,HIN,High income,RCL__2,Restricted civil liberties,2019,,11,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,DNK,Denmark,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,10.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,DNK,Denmark,HIN,High income,DF__2,Discrimination in the family,2019,,15,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,DNK,Denmark,HIN,High income,RPI__2,Restricted physical integrity,2019,,10.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,DNK,Denmark,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,4.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,DNK,Denmark,HIN,High income,RCL__2,Restricted civil liberties,2019,,11,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,FIN,Finland,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,15.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,FIN,Finland,HIN,High income,DF__2,Discrimination in the family,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,FIN,Finland,HIN,High income,RPI__2,Restricted physical integrity,2019,,16.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,FIN,Finland,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,3.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,FIN,Finland,HIN,High income,RCL__2,Restricted civil liberties,2019,,18.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,FIN,Finland,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,15.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,FIN,Finland,HIN,High income,DF__2,Discrimination in the family,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,FIN,Finland,HIN,High income,RPI__2,Restricted physical integrity,2019,,16.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,FIN,Finland,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,3.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,FIN,Finland,HIN,High income,RCL__2,Restricted civil liberties,2019,,18.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,FRA,France,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,11.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,FRA,France,HIN,High income,DF__2,Discrimination in the family,2019,,27.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,FRA,France,HIN,High income,RPI__2,Restricted physical integrity,2019,,6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,FRA,France,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,3.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,FRA,France,HIN,High income,RCL__2,Restricted civil liberties,2019,,5.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,FRA,France,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,11.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,FRA,France,HIN,High income,DF__2,Discrimination in the family,2019,,27.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,FRA,France,HIN,High income,RPI__2,Restricted physical integrity,2019,,6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,FRA,France,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,3.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,FRA,France,HIN,High income,RCL__2,Restricted civil liberties,2019,,5.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,DEU,Germany,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,15,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,DEU,Germany,HIN,High income,DF__2,Discrimination in the family,2019,,18.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,DEU,Germany,HIN,High income,RPI__2,Restricted physical integrity,2019,,14.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,DEU,Germany,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,13.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,DEU,Germany,HIN,High income,RCL__2,Restricted civil liberties,2019,,14.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,DEU,Germany,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,15,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,DEU,Germany,HIN,High income,DF__2,Discrimination in the family,2019,,18.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,NZL,New Zealand,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,16.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,DEU,Germany,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,13.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,DEU,Germany,HIN,High income,RCL__2,Restricted civil liberties,2019,,14.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,GRC,Greece,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,27.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,GRC,Greece,HIN,High income,DF__2,Discrimination in the family,2019,,45.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,GRC,Greece,HIN,High income,RPI__2,Restricted physical integrity,2019,,9.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,GRC,Greece,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,33.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,GRC,Greece,HIN,High income,RCL__2,Restricted civil liberties,2019,,16.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,GRC,Greece,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,27.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,GRC,Greece,HIN,High income,DF__2,Discrimination in the family,2019,,45.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,GRC,Greece,HIN,High income,RPI__2,Restricted physical integrity,2019,,9.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,GRC,Greece,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,33.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,GRC,Greece,HIN,High income,RCL__2,Restricted civil liberties,2019,,16.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,HUN,Hungary,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,25.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,HUN,Hungary,HIN,High income,DF__2,Discrimination in the family,2019,,34.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,HUN,Hungary,HIN,High income,RPI__2,Restricted physical integrity,2019,,17.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,HUN,Hungary,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,23.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,HUN,Hungary,HIN,High income,RCL__2,Restricted civil liberties,2019,,27.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,HUN,Hungary,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,25.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,HUN,Hungary,HIN,High income,DF__2,Discrimination in the family,2019,,34.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,HUN,Hungary,HIN,High income,RPI__2,Restricted physical integrity,2019,,17.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,HUN,Hungary,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,23.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,HUN,Hungary,HIN,High income,RCL__2,Restricted civil liberties,2019,,27.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,ISL,Iceland,HIN,High income,DF__2,Discrimination in the family,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,ISL,Iceland,HIN,High income,RCL__2,Restricted civil liberties,2019,,17.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,ISL,Iceland,HIN,High income,DF__2,Discrimination in the family,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,ISL,Iceland,HIN,High income,RCL__2,Restricted civil liberties,2019,,17.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,IRL,Ireland,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,17.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,IRL,Ireland,HIN,High income,DF__2,Discrimination in the family,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,IRL,Ireland,HIN,High income,RPI__2,Restricted physical integrity,2019,,18.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,IRL,Ireland,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,15.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,IRL,Ireland,HIN,High income,RCL__2,Restricted civil liberties,2019,,11.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,IRL,Ireland,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,17.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,IRL,Ireland,HIN,High income,DF__2,Discrimination in the family,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,IRL,Ireland,HIN,High income,RPI__2,Restricted physical integrity,2019,,18.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,IRL,Ireland,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,15.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,IRL,Ireland,HIN,High income,RCL__2,Restricted civil liberties,2019,,11.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,ITA,Italy,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,13.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,ITA,Italy,HIN,High income,DF__2,Discrimination in the family,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,ITA,Italy,HIN,High income,RPI__2,Restricted physical integrity,2019,,14.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,ITA,Italy,HIN,High income,RAPFR__2,Restricted access to productive and financial resources,2019,,8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,EUR,Europe,ITA,Italy,HIN,High income,RCL__2,Restricted civil liberties,2019,,8.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,ITA,Italy,HIN,High income,SIGI_2,Social Institutions and Gender Index 2019,2019,,13.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),Social Institutions and Gender Index 2019,I,ALL,All regions,ITA,Italy,HIN,High income,DF__2,Discrimination in the family,2019,,21.8,,A,,,,,,,
